id_player,team,position,captain,height,country_,market_value,age
834308,Leeds United,D,0,181.0,SWE,15500000.0,26
836675,Leeds United,D,0,190.0,NLD,21000000.0,26
828640,Leeds United,D,0,193.0,WAL,12500000.0,28
847097,Leeds United,D,1,182.0,WAL,18600000.0,25
929132,Leeds United,D,0,178.0,ENG,10700000.0,25
889861,Leeds United,M,0,192.0,DEU,19400000.0,27
372344,Leeds United,F,0,187.0,ENG,16200000.0,28
973431,Leeds United,M,0,178.0,USA,15500000.0,25
871290,Leeds United,G,0,196.0,BRA,14700000.0,28
865523,Leeds United,F,0,185.0,CHE,19800000.0,25
886930,Leeds United,D,0,192.0,SVN,16700000.0,27
866191,Leeds United,M,0,187.0,ENG,17200000.0,28
911679,Leeds United,M,0,185.0,BGR,8199999.0,25
827681,Leeds United,D,0,183.0,ENG,12400000.0,27
871886,Leeds United,M,0,180.0,JPN,10800000.0,27
123689,Leeds United,G,0,185.0,WAL,210000.0,35
803185,Leeds United,F,0,185.0,DEU,7300000.0,27
998951,Leeds United,M,0,170.0,ITA,22000000.0,22
828639,Leeds United,M,0,172.0,WAL,14800000.0,28
826167,Leeds United,D,0,190.0,BEL,4900000.0,26
103335,Fulham,G,1,190.0,DEU,7400000.0,33
362682,Fulham,D,0,190.0,DNK,26000000.0,29
793167,Fulham,M,0,195.0,NOR,26000000.0,27
355528,Fulham,M,0,173.0,WAL,22000000.0,28
192442,Fulham,F,0,189.0,MEX,4200000.0,34
352770,Fulham,M,0,183.0,NGA,26000000.0,29
861972,Fulham,D,0,185.0,NGA,29000000.0,26
190877,Fulham,D,0,180.0,NLD,11900000.0,30
371222,Fulham,M,0,183.0,SRB,11300000.0,29
836698,Fulham,D,0,178.0,ENG,19400000.0,25
867445,Fulham,M,0,182.0,ENG,20000000.0,25
329417,Fulham,D,0,185.0,BEL,9500000.0,30
868715,Fulham,D,0,190.0,ESP,4300000.0,26
1546231,Fulham,M,0,172.0,ENG,21000000.0,19
803174,Fulham,D,0,183.0,USA,32000000.0,28
1112879,Fulham,M,0,176.0,BRA,31000000.0,23
82566,Fulham,M,0,185.0,SCO,795000.0,35
825719,Fulham,D,0,194.0,FRA,10300000.0,29
822470,Fulham,F,0,172.0,NGA,10300000.0,26
1015256,Fulham,F,0,184.0,BRA,27000000.0,24
138530,Everton,G,0,185.0,ENG,16100000.0,31
145188,Everton,D,1,185.0,ENG,7200000.0,33
927361,Everton,M,0,182.0,ENG,27000000.0,24
998253,Everton,D,0,197.0,IRL,14600000.0,24
876643,Everton,D,0,180.0,UKR,26000000.0,26
110846,Everton,D,0,188.0,ENG,3700000.0,33
189061,Everton,F,0,180.0,ENG,26000000.0,30
914309,Everton,M,0,180.0,SEN,44000000.0,25
1395746,Everton,F,0,195.0,FRA,31000000.0,23
861970,Everton,M,0,178.0,ENG,31000000.0,27
106337,Everton,M,0,174.0,SEN,970000.0,36
1085950,Everton,M,0,182.0,ENG,12400000.0,22
987489,Everton,F,0,194.0,GNB,21000000.0,28
